Date,Sale,Dollar Volume,Average Price,Median Price,Total listing,Months inventory
Jan 2015,7,"1,467,000","209,571","209,571",124,5.2
Feb 2015,13,"1,735,364","133,490","133,490",129,5.8
Mar 2015,17,"2,816,000","165,647","165,647",145,6.8
Apr 2015,20,"3,882,300","194,115","194,115",161,7.6
May 2015,28,"5,133,800","183,350","183,350",145,7.0
Jun 2015,24,"5,112,300","213,012","213,012",136,6.5
Jul 2015,33,"8,750,375","265,163","265,163",133,6.1
Aug 2015,25,"5,046,200","201,848","201,848",133,6.3
Sep 2015,32,"6,481,800","202,556","202,556",115,5.2
Oct 2015,22,"4,722,793","214,672","214,672",84,3.9
Nov 2015,25,"4,883,800","195,352","195,352",80,3.5
Dec 2015,21,"3,706,900","176,519","176,519",77,3.5
Jan 2016,18,"3,274,550","181,919","181,919",78,3.4
Feb 2016,12,"1,846,000","153,833","153,833",78,3.4
Mar 2016,22,"3,973,000","180,591","180,591",81,3.4
Apr 2016,16,"3,201,424","200,089","200,089",85,3.7
May 2016,21,"4,409,900","209,995","209,995",80,3.5
Jun 2016,24,"5,025,850","209,410","209,410",91,4.0
Jul 2016,25,"5,135,300","205,412","205,412",108,4.9
Aug 2016,29,"6,350,144","218,970","218,970",117,5.3
Sep 2016,13,"1,980,800","152,369","152,369",125,6.0
Oct 2016,17,"3,218,200","189,306","189,306",125,6.2
Nov 2016,13,"2,723,900","209,531","209,531",138,7.2
Dec 2016,14,"2,465,000","176,071","176,071",128,6.9
Jan 2017,22,"3,615,609","164,346","164,346",119,6.3
Feb 2017,25,"4,999,900","199,996","199,996",119,5.9
Mar 2017,31,"6,631,475","213,919","213,919",121,5.8
Apr 2017,19,"3,811,750","200,618","200,618",124,5.9
May 2017,23,"4,219,400","183,452","183,452",140,6.6
Jun 2017,33,"6,372,403","193,103","193,103",133,6.0
Jul 2017,28,"7,556,999","269,893","269,893",135,6.1
Aug 2017,22,"5,261,187","239,145","239,145",139,6.4
Sep 2017,14,"2,927,300","209,093","209,093",148,6.8
Oct 2017,15,"4,521,500","301,433","301,433",140,6.5
Nov 2017,25,"4,975,300","199,012","199,012",127,5.6
Dec 2017,34,"7,010,235","206,183","206,183",107,4.4
Jan 2018,19,"4,993,990","262,842","262,842",91,3.8
Feb 2018,13,"2,561,400","197,031","197,031",100,4.3
Mar 2018,22,"4,301,000","195,500","195,500",113,5.1
Apr 2018,16,"3,442,500","215,156","215,156",122,5.5
May 2018,25,"5,304,975","212,199","212,199",152,6.9
Jun 2018,36,"6,466,886","179,636","179,636",153,6.8
Jul 2018,22,"4,669,650","212,257","212,257",151,6.9
Aug 2018,32,"7,869,600","245,925","245,925",152,6.7
Sep 2018,26,"5,132,800","197,415","197,415",134,5.6
Oct 2018,21,"4,398,900","209,471","209,471",134,5.5
Nov 2018,20,"2,925,900","146,295","146,295",131,5.5
Dec 2018,20,"4,370,750","218,538","218,538",127,5.6
Jan 2019,20,"4,283,500","214,175","214,175",131,5.8
Feb 2019,19,"4,142,450","218,024","218,024",124,5.3
Mar 2019,13,"3,209,550","246,888","246,888",150,6.7
Apr 2019,27,"6,264,050","232,002","232,002",139,5.9
May 2019,29,"7,100,338","244,839","244,839",146,6.1
Jun 2019,24,"5,817,500","242,396","242,396",165,7.3
Jul 2019,27,"5,310,691","196,692","196,692",171,7.4
Aug 2019,26,"6,437,500","247,596","247,596",158,7.0
Sep 2019,20,"5,771,400","288,570","288,570",151,6.8
Oct 2019,25,"5,990,924","239,637","239,637",137,6.1
Nov 2019,20,"4,231,500","211,575","211,575",144,6.4
Dec 2019,15,"3,043,900","202,927","202,927",129,5.8
Jan 2020,12,"2,461,641","205,137","205,137",123,5.7
Feb 2020,12,"2,622,000","218,500","218,500",130,6.2
Mar 2020,28,"5,802,000","207,214","207,214",133,6.0
Apr 2020,24,"6,401,850","266,744","266,744",128,5.9
May 2020,25,"5,950,000","238,000","238,000",119,5.5
Jun 2020,31,"8,520,844","274,866","274,866",111,5.0
Jul 2020,21,"6,967,604","331,791","331,791",92,4.3
Aug 2020,29,"7,121,153","245,557","245,557",81,3.7
